district_number,county,state,fips_code
43,Anderson,Kentucky,21005
43,Bath,Kentucky,21011
43,Bell,Kentucky,21013
43,Boone,Kentucky,21015
43,Bourbon,Kentucky,21017
43,Boyd,Kentucky,21019
43,Boyle,Kentucky,21021
43,Bracken,Kentucky,21023
43,Breathitt,Kentucky,21025
43,Campbell,Kentucky,21037
43,Carroll,Kentucky,21041
43,Carter,Kentucky,21043
43,Clark,Kentucky,21049
43,Clay,Kentucky,21051
43,Elliott,Kentucky,21063
43,Estill,Kentucky,21065
43,Fayette,Kentucky,21067
43,Fleming,Kentucky,21069
43,Floyd,Kentucky,21071
43,Franklin,Kentucky,21073
43,Gallatin,Kentucky,21077
43,Garrard,Kentucky,21079
43,Grant,Kentucky,21081
43,Greenup,Kentucky,21089
43,Harlan,Kentucky,21095
43,Harrison,Kentucky,21097
43,Henry,Kentucky,21103
43,Jackson,Kentucky,21109
43,Jessamine,Kentucky,21113
43,Johnson,Kentucky,21115
43,Kenton,Kentucky,21117
43,Knott,Kentucky,21119
43,Knox,Kentucky,21121
43,Laurel,Kentucky,21125
43,Lawrence,Kentucky,21127
43,Lee,Kentucky,21129
43,Leslie,Kentucky,21131
43,Letcher,Kentucky,21133
43,Lewis,Kentucky,21135
43,Lincoln,Kentucky,21137
43,Madison,Kentucky,21151
43,Magoffin,Kentucky,21153
43,Martin,Kentucky,21159
43,Mason,Kentucky,21161
43,McCreary,Kentucky,21147
43,Menifee,Kentucky,21165
43,Mercer,Kentucky,21167
43,Montgomery,Kentucky,21173
43,Morgan,Kentucky,21175
43,Nicholas,Kentucky,21181
43,Owen,Kentucky,21187
43,Owsley,Kentucky,21189
43,Pendleton,Kentucky,21191
43,Perry,Kentucky,21193
43,Pike,Kentucky,21195
43,Powell,Kentucky,21197
43,Pulaski,Kentucky,21199
43,Robertson,Kentucky,21201
43,Rockcastle,Kentucky,21203
43,Rowan,Kentucky,21205
43,Scott,Kentucky,21209
43,Shelby,Kentucky,21211
43,Trimble,Kentucky,21223
43,Wayne,Kentucky,21231
43,Whitley,Kentucky,21235
43,Wolfe,Kentucky,21237
43,Woodford,Kentucky,21239
44,Adair,Kentucky,21001
44,Allen,Kentucky,21003
44,Ballard,Kentucky,21007
44,Barren,Kentucky,21009
44,Breckinridge,Kentucky,21027
44,Bullitt,Kentucky,21029
44,Butler,Kentucky,21031
44,Caldwell,Kentucky,21033
44,Calloway,Kentucky,21035
44,Carlisle,Kentucky,21039
44,Casey,Kentucky,21045
44,Christian,Kentucky,21047
44,Clinton,Kentucky,21053
44,Crittenden,Kentucky,21055
44,Cumberland,Kentucky,21057
44,Daviess,Kentucky,21059
44,Edmonson,Kentucky,21061
44,Fulton,Kentucky,21075
44,Graves,Kentucky,21083
44,Grayson,Kentucky,21085
44,Green,Kentucky,21087
44,Hancock,Kentucky,21091
44,Hardin,Kentucky,21093
44,Hart,Kentucky,21099
44,Henderson,Kentucky,21101
44,Hickman,Kentucky,21105
44,Hopkins,Kentucky,21107
44,Jefferson,Kentucky,21111
44,Larue,Kentucky,21123
44,Livingston,Kentucky,21139
44,Logan,Kentucky,21141
44,Lyon,Kentucky,21143
44,Marion,Kentucky,21155
44,Marshall,Kentucky,21157
44,McCracken,Kentucky,21145
44,McLean,Kentucky,21149
44,Meade,Kentucky,21163
44,Metcalfe,Kentucky,21169
44,Monroe,Kentucky,21171
44,Muhlenberg,Kentucky,21177
44,Nelson,Kentucky,21179
44,Ohio,Kentucky,21183
44,Oldham,Kentucky,21185
44,Russell,Kentucky,21207
44,Simpson,Kentucky,21213
44,Spencer,Kentucky,21215
44,Taylor,Kentucky,21217
44,Todd,Kentucky,21219
44,Trigg,Kentucky,21221
44,Union,Kentucky,21225
44,Warren,Kentucky,21227
44,Washington,Kentucky,21229
44,Webster,Kentucky,21233
45,Alcona,Michigan,26001
45,Alpena,Michigan,26007
45,Arenac,Michigan,26011
45,Bay,Michigan,26017
45,Cheboygan,Michigan,26031
45,Clare,Michigan,26035
45,Crawford,Michigan,26039
45,Genesee,Michigan,26049
45,Gladwin,Michigan,26051
45,Gratiot,Michigan,26057
45,Huron,Michigan,26063
45,Iosco,Michigan,26069
45,Isabella,Michigan,26073
45,Jackson,Michigan,26075
45,Lapeer,Michigan,26087
45,Lenawee,Michigan,26091
45,Livingston,Michigan,26093
45,Macomb,Michigan,26099
45,Midland,Michigan,26111
45,Monroe,Michigan,26115
45,Montmorency,Michigan,26119
45,Oakland,Michigan,26125
45,Ogemaw,Michigan,26129
45,Oscoda,Michigan,26135
45,Otsego,Michigan,26137
45,Presque Isle,Michigan,26141
45,Roscommon,Michigan,26143
45,Saginaw,Michigan,26145
45,Sanilac,Michigan,26151
45,Shiawassee,Michigan,26155
45,St. Clair,Michigan,26147
45,Tuscola,Michigan,26157
45,Washtenaw,Michigan,26161
45,Wayne,Michigan,26163
46,Alger,Michigan,26003
46,Allegan,Michigan,26005
46,Antrim,Michigan,26009
46,Baraga,Michigan,26013
46,Barry,Michigan,26015
46,Benzie,Michigan,26019
46,Berrien,Michigan,26021
46,Branch,Michigan,26023
46,Calhoun,Michigan,26025
46,Cass,Michigan,26027
46,Charlevoix,Michigan,26029
46,Chippewa,Michigan,26033
46,Clinton,Michigan,26037
46,Delta,Michigan,26041
46,Dickinson,Michigan,26043
46,Eaton,Michigan,26045
46,Emmet,Michigan,26047
46,Gogebic,Michigan,26053
46,Grand Traverse,Michigan,26055
46,Hillsdale,Michigan,26059
46,Houghton,Michigan,26061
46,Ingham,Michigan,26065
46,Ionia,Michigan,26067
46,Iron,Michigan,26071
46,Kalamazoo,Michigan,26077
46,Kalkaska,Michigan,26079
46,Kent,Michigan,26081
46,Keweenaw,Michigan,26083
46,Lake,Michigan,26085
46,Leelanau,Michigan,26089
46,Luce,Michigan,26095
46,Mackinac,Michigan,26097
46,Manistee,Michigan,26101
46,Marquette,Michigan,26103
